department,model,accuracy,precision,recall,f1,selected
Cardiology,Decision Tree,0.812,0.854,0.812,0.819,True
Cardiology,KNN (MinMaxScaler),0.75,0.823,0.75,0.764,False
Cardiology,KNN (StandardScaler),0.688,0.823,0.688,0.698,False
Cardiology,Random Forest,0.812,0.76,0.812,0.785,False
Cardiology,SVM (MinMaxScaler),0.75,0.754,0.75,0.682,False
Cardiology,SVM (StandardScaler),0.812,0.76,0.812,0.785,False
Cardiology,XGBoost,0.75,0.754,0.75,0.682,False
Neurology,Decision Tree,0.5,0.649,0.5,0.537,False
Neurology,KNN (MinMaxScaler),0.476,0.531,0.476,0.47,False
Neurology,KNN (StandardScaler),0.476,0.519,0.476,0.45,False
Neurology,Random Forest,0.548,0.655,0.548,0.563,True
Neurology,SVM (MinMaxScaler),0.405,0.489,0.405,0.388,False
Neurology,SVM (StandardScaler),0.429,0.419,0.429,0.37,False
Neurology,XGBoost,0.452,0.551,0.452,0.476,False
Rheumatology,Decision Tree,0.467,0.546,0.467,0.501,False
Rheumatology,KNN (MinMaxScaler),0.622,0.532,0.622,0.569,False
Rheumatology,KNN (StandardScaler),0.6,0.573,0.6,0.585,False
Rheumatology,Random Forest,0.644,0.588,0.644,0.607,False
Rheumatology,SVM (MinMaxScaler),0.689,0.575,0.689,0.611,True
Rheumatology,SVM (StandardScaler),0.6,0.519,0.6,0.546,False
Rheumatology,XGBoost,0.533,0.523,0.533,0.527,False
